GVKEY,LINKTYPE,LPERMNO,LPERMCO,LINKDT,LINKENDDT,conm,tic,cusip
4598,LU,60628,1685,19780412,E,FEDEX CORP,FDX,31428X106
4605,LU,58413,20697,19750609,E,FEDERAL REALTY INVESTMENT TR,FRT,313747206
4611,LU,77462,22856,19920317,E,MACY'S INC,M,55616P104
4640,LU,34746,1741,19800101,19800130,FIFTH THIRD BANCORP,FITB,316773100
4640,LU,34746,1741,19800131,E,FIFTH THIRD BANCORP,FITB,316773100
4674,LC,35044,1620,19721214,E,REGIONS FINANCIAL CORP,RF,7591EP100
4682,LC,66157,1645,19721214,20010226,U S BANCORP/DE-OLD,USB.1,902973106
4699,LC,35554,1689,19721214,E,M & T BANK CORP,MTB,55261F104
4723,LC,66157,1645,20010227,E,U S BANCORP,USB,902973304
4818,LC,88853,41080,20001222,E,FLUOR CORP,FLR,343412102
4839,LC,25785,20750,19571231,19620130,FORD MOTOR CO,F,345370860
4839,LC,25785,20750,19620131,E,FORD MOTOR CO,F,345370860
4885,LU,37584,6407,19830923,E,FRANKLIN RESOURCES INC,BEN,354613101
4973,LU,38093,7094,19840620,E,ARTHUR J GALLAGHER & CO,AJG,363576109
4990,LU,59010,1892,19760520,E,GAP INC,GPS,364760108
5046,LC,12052,20791,19540101,19620130,GENERAL DYNAMICS CORP,GD,369550108
5046,LC,12052,20791,19620131,E,GENERAL DYNAMICS CORP,GD,369550108
5047,LC,12060,20792,19500101,19620130,GENERAL ELECTRIC CO,GE,369604103
5047,LC,12060,20792,19620131,E,GENERAL ELECTRIC CO,GE,369604103
5071,LC,17144,20798,19500601,19620130,GENERAL MILLS INC,GIS,370334104
5071,LC,17144,20798,19620131,E,GENERAL MILLS INC,GIS,370334104
5073,LC,12369,53554,20101118,E,GENERAL MOTORS CO,GM,37045V100
5125,LU,46674,20807,19680820,E,GENUINE PARTS CO,GPC,372460105
5234,LU,16432,20834,19500101,19620130,GOODYEAR TIRE & RUBBER CO,GT,382550101
5234,LU,16432,20834,19620131,E,GOODYEAR TIRE & RUBBER CO,GT,382550101
5256,LU,52695,20841,19710623,E,GRAINGER (W W) INC,GWW,384802104
5439,LU,23819,20868,19620131,E,HALLIBURTON CO,HAL,406216101
5439,LU,23819,20868,19500101,19620130,HALLIBURTON CO,HAL,406216101
5492,LC,25582,20883,19620131,E,L3HARRIS TECHNOLOGIES INC,LHX,502431109
5518,LU,52978,20887,19710811,E,HASBRO INC,HAS,418056107
5568,LC,15408,55296,20150706,E,KRAFT HEINZ CO,KHC,500754106
5581,LU,32707,20902,19620702,E,HELMERICH & PAYNE,HP,423452101
5597,LC,16600,20906,19500101,19620130,HERSHEY CO,HSY,427866108
5597,LC,16600,20906,19620131,E,HERSHEY CO,HSY,427866108
5606,LC,27828,20908,19620131,E,HP INC,HPQ,40434L105
5643,LC,14338,54672,20131212,E,HILTON WORLDWIDE HOLDINGS,HLT,43300A203
5667,LC,32803,20922,19651130,E,HOLLYFRONTIER CORP,HFC,436106108
5680,LC,66181,5085,19810922,E,HOME DEPOT INC,HD,437076102
5709,LU,32870,20932,19620702,E,HORMEL FOODS CORP,HRL,440452100
5742,LU,21792,20939,19620131,E,CENTERPOINT ENERGY INC,CNP,15189T107
5742,LU,21792,20939,19510101,19620130,CENTERPOINT ENERGY INC,CNP,15189T107
5776,LC,48653,20950,19690702,19831229,GALEN HEALTH CARE INC,GHC.1,363233107
5783,LU,42877,6606,19831122,E,HUNT (JB) TRANSPRT SVCS INC,JBHT,445658107
5786,LU,42906,2093,19721214,E,HUNTINGTON BANCSHARES,HBAN,446150104
5860,LC,12570,20964,19620131,E,ITT INC,ITT,45073V108
5860,LC,12570,20964,19500101,19620130,ITT INC,ITT,45073V108
5878,LU,56573,20968,19730313,E,ILLINOIS TOOL WORKS,ITW,452308109
5959,LC,12431,20977,19620131,E,TRANE TECHNOLOGIES PLC,TT,G8994E103
5959,LC,12431,20977,19500101,19620130,TRANE TECHNOLOGIES PLC,TT,G8994E103
6008,LU,59328,2367,19721214,E,INTEL CORP,INTC,458140100
6066,LC,12490,20990,19620131,E,INTL BUSINESS MACHINES CORP,IBM,459200101
6066,LC,12490,20990,19500101,19620130,INTL BUSINESS MACHINES CORP,IBM,459200101
6078,LC,40272,20991,19640302,E,INTL FLAVORS & FRAGRANCES,IFF,459506101
6104,LC,21573,20994,19620131,E,INTL PAPER CO,IP,460146103
6104,LC,21573,20994,19500101,19620130,INTL PAPER CO,IP,460146103
6136,LU,53065,20997,19710823,E,INTERPUBLIC GROUP OF COS,IPG,460690100
6216,LU,52329,21011,19710427,E,JACOBS ENGINEERING GROUP INC,J,469814107
6239,LC,46392,6496,19831013,19990427,JEFFERIES GROUP LLC,LUK2,47299V003
6266,LC,22111,21018,19620131,E,JOHNSON & JOHNSON,JNJ,478160104
6268,LC,45356,21791,20160903,E,JOHNSON CONTROLS INTL PLC,JCI,G51502105
6304,LU,46886,2551,19801008,E,KLA CORP,KLAC,482480100
6310,LC,12558,53667,20110211,E,KINDER MORGAN INC,KMI,49456B101
6335,LC,12650,21033,19630131,E,KANSAS CITY SOUTHERN,KSU,485170302
6335,LC,12650,21033,19630101,19630130,KANSAS CITY SOUTHERN,KSU,485170302
6338,LC,24053,21035,19620131,E,EVERGY INC,EVRG,30034W106
6338,LC,24053,21035,19580101,19620130,EVERGY INC,EVRG,30034W106
6375,LU,26825,21041,19620131,E,KELLOGG CO,K,487836108
6418,LC,64995,2535,19720223,19940301,KEYCORP  -OLD,KEY.3,493263107
6435,LC,17750,21055,19620131,E,KIMBERLY-CLARK CORP,KMB,494368103
6435,LC,17750,21055,19500501,19620130,KIMBERLY-CLARK CORP,KMB,494368103
6502,LC,16678,21068,19620131,E,KROGER CO,KR,501044101
6502,LC,16678,21068,19500101,19620130,KROGER CO,KR,501044101
6565,LU,48486,7013,19840504,E,LAM RESEARCH CORP,LRCX,512807108
6639,LU,50286,21090,19700317,E,LEE ENTERPRISES INC,LEE,523768109
6649,LU,60943,2636,19721214,E,LEGGETT & PLATT INC,LEG,524660107
6669,LC,89731,21095,20030415,E,LENNAR CORP,LEN,526057104
